year	count
1950	168
1951	142
1952	162
1953	259
1954	385
1955	651
1956	922
1957	892
1958	949
1959	919
1960	829
1961	906
1962	1,013
1963	1,065
1964	1,064
1965	1,119
1966	1,218
1967	1,111
1968	1,261
1969	1,579
1970	1,875
1971	2,006
1972	2,356
1973	2,633
1974	2,941
1975	3,246
1976	3,797
1977	3,656
1978	3,801
1979	3,329
1980	2,964
1981	2,948
1982	2,662
1983	2,514
1984	2,640
1985	2,752
1986	2,897
1987	3,557
1988	3,233
1989	3,140
1990	2,981
1991	2,803
1992	2,547
1993	2,575
1994	2,615
1995	2,843
1996	2,700
1997	2,707
1998	2,800
1999	2,809
2000	2,946
2001	2,858
2002	2,940
2003	3,013
2004	3,080
2005	3,050
2006	3,454
2007	3,310
2008	3,344
2009	3,109
