year	count
1950	5
1951	7
1952	6
1953	10
1954	10
1955	45
1956	109
1957	125
1958	191
1959	244
1960	222
1961	243
1962	329
1963	674
1964	780
1965	966
1966	1,326
1967	2,010
1968	3,067
1969	4,403
1970	6,277
1971	6,943
1972	7,903
1973	7,907
1974	7,672
1975	8,030
1976	8,995
1977	9,967
1978	11,362
1979	11,383
1980	13,168
1981	12,484
1982	12,902
1983	12,595
1984	13,570
1985	14,279
1986	15,762
1987	17,322
1988	18,766
1989	19,668
1990	20,838
1991	20,250
1992	19,632
1993	20,586
1994	21,779
1995	22,342
1996	22,281
1997	21,406
1998	20,830
1999	21,678
2000	21,828
2001	21,866
2002	23,979
2003	24,533
2004	25,427
2005	26,072
2006	27,769
2007	28,675
2008	28,301
2009	28,702
