year	count
1950	0
1951	4
1952	2
1953	6
1954	14
1955	22
1956	33
1957	32
1958	23
1959	37
1960	34
1961	73
1962	71
1963	78
1964	107
1965	131
1966	197
1967	349
1968	547
1969	869
1970	1,100
1971	1,384
1972	1,820
1973	2,089
1974	2,283
1975	2,878
1976	3,702
1977	4,054
1978	4,344
1979	4,514
1980	3,151
1981	2,953
1982	2,635
1983	2,312
1984	2,106
1985	2,242
1986	1,725
1987	1,979
1988	1,962
1989	1,491
1990	1,452
1991	1,523
1992	1,474
1993	1,554
1994	1,392
1995	1,396
1996	1,328
1997	1,096
1998	1,216
1999	1,087
2000	1,147
2001	1,287
2002	1,175
2003	1,285
2004	1,206
2005	1,406
2006	1,741
2007	1,787
2008	1,876
2009	1,623
