year	count
1950	490
1951	420
1952	464
1953	708
1954	1,042
1955	1,647
1956	2,243
1957	2,184
1958	2,159
1959	2,285
1960	2,244
1961	2,163
1962	2,248
1963	1,862
1964	1,967
1965	2,200
1966	2,391
1967	2,049
1968	1,928
1969	2,197
1970	2,461
1971	2,645
1972	3,420
1973	3,834
1974	4,042
1975	4,353
1976	4,918
1977	4,796
1978	4,442
1979	4,108
1980	3,664
1981	3,667
1982	3,331
1983	3,371
1984	3,453
1985	3,536
1986	3,482
1987	4,420
1988	3,945
1989	4,069
1990	3,726
1991	3,454
1992	3,155
1993	3,203
1994	3,080
1995	3,310
1996	3,034
1997	3,317
1998	3,425
1999	3,300
2000	3,283
2001	3,343
2002	3,423
2003	3,446
2004	3,406
2005	3,547
2006	4,100
2007	3,672
2008	3,752
2009	3,553
