year	count
1950	1
1951	0
1952	1
1953	14
1954	9
1955	16
1956	32
1957	59
1958	108
1959	89
1960	109
1961	116
1962	81
1963	197
1964	207
1965	514
1966	532
1967	962
1968	1,433
1969	2,213
1970	3,589
1971	4,100
1972	4,656
1973	4,721
1974	4,282
1975	4,362
1976	4,626
1977	4,352
1978	4,843
1979	4,107
1980	4,268
1981	3,683
1982	3,884
1983	3,500
1984	3,446
1985	3,445
1986	3,890
1987	4,239
1988	4,147
1989	4,480
1990	4,720
1991	4,574
1992	4,128
1993	4,556
1994	4,470
1995	4,696
1996	4,919
1997	4,484
1998	4,630
1999	5,050
2000	4,905
2001	5,159
2002	5,816
2003	5,868
2004	6,485
2005	6,667
2006	7,392
2007	7,660
2008	6,921
2009	6,987
