year	count
1950	3
1951	6
1952	6
1953	2
1954	7
1955	13
1956	36
1957	42
1958	46
1959	44
1960	66
1961	70
1962	95
1963	85
1964	72
1965	107
1966	168
1967	307
1968	362
1969	587
1970	820
1971	948
1972	1,335
1973	1,586
1974	1,448
1975	1,589
1976	1,983
1977	1,995
1978	2,045
1979	2,010
1980	1,500
1981	1,441
1982	1,288
1983	1,154
1984	837
1985	856
1986	590
1987	813
1988	790
1989	628
1990	691
1991	789
1992	693
1993	848
1994	656
1995	714
1996	671
1997	592
1998	605
1999	526
2000	494
2001	643
2002	616
2003	657
2004	618
2005	717
2006	905
2007	992
2008	1,030
2009	795
