year	count
1950	0
1951	0
1952	2
1953	4
1954	7
1955	2
1956	16
1957	5
1958	9
1959	18
1960	28
1961	12
1962	19
1963	27
1964	14
1965	25
1966	79
1967	152
1968	428
1969	589
1970	829
1971	1,006
1972	1,147
1973	860
1974	1,021
1975	880
1976	951
1977	940
1978	1,163
1979	881
1980	947
1981	1,012
1982	1,421
1983	1,183
1984	1,407
1985	1,359
1986	1,595
1987	1,603
1988	1,927
1989	1,945
1990	1,700
1991	1,564
1992	1,586
1993	1,536
1994	1,729
1995	1,841
1996	1,965
1997	1,844
1998	1,885
1999	2,169
2000	2,056
2001	1,956
2002	2,055
2003	2,130
2004	2,058
2005	2,330
2006	2,710
2007	2,769
2008	2,720
2009	2,554
