year	count
1950	2
1951	4
1952	2
1953	0
1954	2
1955	8
1956	10
1957	22
1958	7
1959	11
1960	43
1961	44
1962	26
1963	15
1964	46
1965	51
1966	75
1967	187
1968	351
1969	404
1970	471
1971	643
1972	771
1973	949
1974	947
1975	1,128
1976	1,632
1977	1,718
1978	1,781
1979	1,883
1980	1,380
1981	1,222
1982	1,030
1983	716
1984	743
1985	758
1986	585
1987	530
1988	601
1989	459
1990	471
1991	560
1992	474
1993	516
1994	548
1995	557
1996	560
1997	425
1998	457
1999	371
2000	408
2001	464
2002	460
2003	493
2004	460
2005	548
2006	675
2007	814
2008	749
2009	730
