name,date,tavg,tmax,tmin
"BOSTON, MA US",2017-01-01,40,44,33
"BOSTON, MA US",2017-01-02,35,41,28
"BOSTON, MA US",2017-01-03,41,44,40
"BOSTON, MA US",2017-01-04,43,48,33
"BOSTON, MA US",2017-01-05,32,34,27
"BOSTON, MA US",2017-01-06,29,31,24
"BOSTON, MA US",2017-01-07,23,24,17
"BOSTON, MA US",2017-01-08,18,22,13
"BOSTON, MA US",2017-01-09,15,20,11
"BOSTON, MA US",2017-01-10,23,39,16
"BOSTON, MA US",2017-01-11,45,55,39
"BOSTON, MA US",2017-01-12,50,61,41
"BOSTON, MA US",2017-01-13,49,58,25
"BOSTON, MA US",2017-01-14,26,31,18
"BOSTON, MA US",2017-01-15,31,37,27
"BOSTON, MA US",2017-01-16,31,42,23
"BOSTON, MA US",2017-01-17,37,42,32
"BOSTON, MA US",2017-01-18,38,40,32
"BOSTON, MA US",2017-01-19,37,46,31
"BOSTON, MA US",2017-01-20,38,40,34
"BOSTON, MA US",2017-01-21,43,55,37
"BOSTON, MA US",2017-01-22,44,48,39
"BOSTON, MA US",2017-01-23,38,40,35
"BOSTON, MA US",2017-01-24,39,42,35
"BOSTON, MA US",2017-01-25,38,44,36
"BOSTON, MA US",2017-01-26,42,51,37
"BOSTON, MA US",2017-01-27,41,44,36
"BOSTON, MA US",2017-01-28,37,40,32
"BOSTON, MA US",2017-01-29,36,43,30
"BOSTON, MA US",2017-01-30,33,36,24
"BOSTON, MA US",2017-01-31,25,28,20
"BOSTON, MA US",2017-02-01,32,43,27
"BOSTON, MA US",2017-02-02,36,40,29
"BOSTON, MA US",2017-02-03,30,33,25
"BOSTON, MA US",2017-02-04,27,33,21
"BOSTON, MA US",2017-02-05,32,44,26
"BOSTON, MA US",2017-02-06,36,39,32
"BOSTON, MA US",2017-02-07,35,38,33
"BOSTON, MA US",2017-02-08,37,52,25
"BOSTON, MA US",2017-02-09,32,39,11
"BOSTON, MA US",2017-02-10,17,25,11
"BOSTON, MA US",2017-02-11,21,30,15
"BOSTON, MA US",2017-02-12,25,35,19
"BOSTON, MA US",2017-02-13,30,34,24
"BOSTON, MA US",2017-02-14,27,34,22
"BOSTON, MA US",2017-02-15,32,40,27
"BOSTON, MA US",2017-02-16,33,35,27
"BOSTON, MA US",2017-02-17,30,41,23
"BOSTON, MA US",2017-02-18,36,49,26
"BOSTON, MA US",2017-02-19,49,59,39
"BOSTON, MA US",2017-02-20,44,48,33
"BOSTON, MA US",2017-02-21,35,40,30
"BOSTON, MA US",2017-02-22,43,56,38
"BOSTON, MA US",2017-02-23,49,68,39
"BOSTON, MA US",2017-02-24,57,73,46
"BOSTON, MA US",2017-02-25,57,69,49
"BOSTON, MA US",2017-02-26,44,49,32
"BOSTON, MA US",2017-02-27,40,55,30
"BOSTON, MA US",2017-02-28,44,51,39
"BOSTON, MA US",2017-03-01,53,63,48
"BOSTON, MA US",2017-03-02,50,58,31
"BOSTON, MA US",2017-03-03,31,36,20
"BOSTON, MA US",2017-03-04,20,21,10
"BOSTON, MA US",2017-03-05,18,32,9
"BOSTON, MA US",2017-03-06,25,37,16
"BOSTON, MA US",2017-03-07,36,48,30
"BOSTON, MA US",2017-03-08,51,57,43
"BOSTON, MA US",2017-03-09,46,51,38
"BOSTON, MA US",2017-03-10,34,38,23
"BOSTON, MA US",2017-03-11,19,23,10
"BOSTON, MA US",2017-03-12,17,27,9
"BOSTON, MA US",2017-03-13,22,34,14
"BOSTON, MA US",2017-03-14,31,38,27
"BOSTON, MA US",2017-03-15,26,28,19
"BOSTON, MA US",2017-03-16,26,35,22
"BOSTON, MA US",2017-03-17,33,42,27
"BOSTON, MA US",2017-03-18,32,36,24
"BOSTON, MA US",2017-03-19,34,38,31
"BOSTON, MA US",2017-03-20,40,53,32
"BOSTON, MA US",2017-03-21,45,53,40
"BOSTON, MA US",2017-03-22,38,43,18
"BOSTON, MA US",2017-03-23,25,38,18
"BOSTON, MA US",2017-03-24,35,47,27
"BOSTON, MA US",2017-03-25,42,47,34
"BOSTON, MA US",2017-03-26,36,41,30
"BOSTON, MA US",2017-03-27,39,44,36
"BOSTON, MA US",2017-03-28,38,40,36
"BOSTON, MA US",2017-03-29,40,47,37
"BOSTON, MA US",2017-03-30,40,48,34
"BOSTON, MA US",2017-03-31,37,40,33
"BOSTON, MA US",2017-04-01,35,38,33
"BOSTON, MA US",2017-04-02,41,57,33
"BOSTON, MA US",2017-04-03,47,55,38
"BOSTON, MA US",2017-04-04,42,43,38
"BOSTON, MA US",2017-04-05,40,41,37
"BOSTON, MA US",2017-04-06,39,53,37
"BOSTON, MA US",2017-04-07,48,54,41
"BOSTON, MA US",2017-04-08,43,49,38
"BOSTON, MA US",2017-04-09,51,66,40
"BOSTON, MA US",2017-04-10,59,76,44
"BOSTON, MA US",2017-04-11,64,84,52
"BOSTON, MA US",2017-04-12,55,60,48
"BOSTON, MA US",2017-04-13,53,59,45
"BOSTON, MA US",2017-04-14,51,60,44
"BOSTON, MA US",2017-04-15,54,70,42
